collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Carnet De Voyage Fabrics",8390177,3314.4300000000003,"Check / Plaid",,,,,,,,Curtain,"55% Cotton, 45% Linen"
"Mixology Designs",34820127,3284.4,"Abstract / Random",,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY"
"Mixology Designs",34830145,3266.91,Geometric,,,,,,,,Upholstery,"37% LINEN, 33% POLYESTER, 30% POLYAMIDE"
"Carnet De Voyage Fabrics",8380328,3254.12,Stripes,,,,,,,,Curtain,"70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY"
"Mixology Designs",34840355,3228,"Abstract / Random",,,,,,,,Upholstery,"70% POLYESTER, 30% VISCOSE"
"Blooms Cotton Blend",34922245,3206,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Blooms Cotton Blend",34921225,3197.7,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Carnet De Voyage Fabrics",8010371,3195.5,"Check / Plaid",,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose"
"Carnet De Voyage Fabrics",8410489,3159,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery"
"Blooms Cotton Blend",34922143,3157.51,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Carnet De Voyage Fabrics",8400175,3083.8,"Check / Plaid",,,,,,,,Curtain,"100% polyester"
"geff Laminate",GGLF003,2973.53,Merbau,,,,"Laminate Flooring",Merbau,"Natural Merbau",,,
"Plains Five",NPLS131193,2917.5,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
"Mixology Designs",34810123,2862,"Abstract / Random",,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY"
"Mixology Designs",34820331,2830.5,"Abstract / Random",,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY"
"Mixology Designs",33800419,2807.7,"Check / Plaid",,,,,,,,Curtain,"64% COTTON, 36% POLYESTER"
"Carnet De Voyage Fabrics",8370593,2725.5,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery"
"Mixology Designs",34830349,2679.8,Geometric,,,,,,,,Upholstery,"37% LINEN, 33% POLYESTER, 30% POLYAMIDE"
"Carnet De Voyage Fabrics",8000122,2669.7,"Abstract / Random",,,,,,,,Upholstery,"100% coton"
"Carnet De Voyage Fabrics",8010463,2580.1,"Check / Plaid",,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose"
"Carnet De Voyage Fabrics",8390365,2396.81,"Check / Plaid",,,,,,,,Curtain,"55% Cotton, 45% Linen"
"Blooms Cotton Blend",34920715,2329,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Carnet De Voyage Fabrics",8370315,2268,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery"
"Carnet De Voyage Fabrics",8360140,2220.9,"Check / Plaid",,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester"
"Blooms Cotton Blend",34922041,2125,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Blooms Cotton Blend",34922449,1860.1,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
