collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Safari Sun",Y47145,13492.55,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Sanshin,AZ52798,13479.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Safari,Y47156,13477.45,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Safari,Y47161,13397,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cabana,"CB03 MUD GREEN",13389.45,Geometric,"Solution Dyed","Level Loop",PVC,,,,,,
"Jailhouse Rock",AZ53041,13202.4,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Carnet De Voyage Fabrics",8390411,13153,"Check / Plaid",,,,,,,,Curtain,"55% Cotton, 45% Linen"
Nashira,nai3801,13023.65,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Davenport,DAV-9201,12974.2,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
Meteor,Y47081,12929.45,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai5611,12900.4,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Amp'd,AZ52817,12869.150000000001,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Remix,AZ52833,12868.09,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Jungle,jua321,12867.800000000003,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Allure Fabrics",30430231,12774,Embroidery,,,,,,,,Curtain,"70% VISCOSE, 30% LIN"
Jungle,jua402,12767.880000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua103,12767.4,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Meteor,Y47084,12691.31,Stones,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Carnet De Voyage Fabrics",8380263,12657,Stripes,,,,,,,,Curtain,"70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY"
Oxide,Y46997,12564,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Oxide,Y46995,12522,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Chimes,AZ52981,12506.960000000001,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Safari,Y47166,12493.3,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Rainbows,raa202,12446.24,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Plains Five",NPLS131180,12320.5,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Shalimar,sha2221,12307,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Rainbows,raa304,12245.75,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Rainbows,raa315,12176,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Tomoko,132087,12126.4,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
Cobra,ca21,12041.800000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Nashira,nai5613,12009.7,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Davenport,DAV-7582,12008,"Animal Skins",,,,,,,,Upholstery,"GSA Certified. Top Grain Leather"
"Plains Five",NPLS131162,11991,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Chimes,AZ52986,11989.3,Plains,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Sanshin,AZ52810,11945.9,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Nashira,nai5608,11923.199999999997,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Jailhouse Rock",AZ53035,11911.48,Abstract,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca53,11799.08,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Jungle,jua417,11707.1,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Cobra,ca65,11702.33,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Safari,Y47155,11679.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Cobra,ca31,11639.2,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua323,11636.2,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Rainbows,raa410,11596.97,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Acappella,AZ52941,11549.3,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha3306,11539.05,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Rainbows,raa305,11444.3,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Nashira,nai5607,11425.519999999999,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Cobra,ca51,11361.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Acappella,AZ52955,11323.650000000001,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
Shalimar,sha4422,11228.5,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Nashira,nai5604,11079.9,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Medintech Plus",K811-533,11064.83,Blue,,,,"Vinyl Flooring",Blue,Turquoise,,,
Safari,Y47159,11046.449999999999,Grass/Bamboos,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Allure Fabrics",30420534,10975.5,Stripes,,,,,,,,Curtain,"100% LIN"
Jungle,jua415,10974.900000000001,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Nashira,nai5603,10729.7,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
