collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Armstrong Medintech Plus,K811-435,5987.39,Red,,,,Vinyl Flooring,Red,Rouge,,,,Flooring
Carnet De Voyage Fabrics,8000477,5985.5,Abstract / Random,,,,,,,,Upholstery,100% coton,Fabric
Mixology Designs,33800215,5968,Check / Plaid,,,,,,,,Curtain,"64% COTTON, 36% POLYESTER",Fabric
Rainbows,raa303,5951,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa411,5922.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30430129,5886.68,Embroidery,,,,,,,,Curtain,"70% VISCOSE, 30% LIN",Fabric
Allure Fabrics,30410351,5782.5,Floral,,,,,,,,Curtain,"55% LIN, 45% COTON",Fabric
Carnet De Voyage Fabrics,8370621,5683.7,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery",Fabric
Carnet De Voyage Fabrics,8010256,5653,Check / Plaid,,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose",Fabric
Plains Five,NPLS131174,5595.01,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Tomoko,132066,5565,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton",Fabric
Milano,Milano Stucco,5545.84,,,,,,,,,Upholstery,100% Leather,Fabric
Rainbows,raa402,5535.8,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30440235,5535,Geometric,,,,,,,,Curtain,"78% VISCOSE, 22% POLYESTER",Fabric
Blooms Cotton Blend,34921327,5323.3,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Plains one + 1,131945,5291,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Carnet De Voyage Fabrics,8000255,5279,Abstract / Random,,,,,,,,Upholstery,100% coton,Fabric
Blooms Cotton Blend,34920511,5249.58,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Tomoko,132084,5227.4,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Plains Five,NPLS131194,5029.9,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Tomoko,132085,4825.4,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Mixology Designs,34820535,4809.8,Abstract / Random,,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY",Fabric
Blooms Cotton Blend,34921123,4778,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Plains one + 1,131944,4770.6,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Blooms Cotton Blend,34922347,4718.5,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Allure Fabrics,30400227,4661.5,Embroidery,,,,,,,,Curtain,70% Viscose - 30 % Linen - Viscose Embroidery,Fabric
Mixology Designs,34840457,4628,Abstract / Random,,,,,,,,Upholstery,"70% POLYESTER, 30% VISCOSE",Fabric
Allure Fabrics,3080112,4589.67,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE",Fabric
Carnet De Voyage Fabrics,8360391,4508,Check / Plaid,,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester",Fabric
Allure Fabrics,3080345,4475.49,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE",Fabric
Carnet De Voyage Fabrics,8370427,4465,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery",Fabric
Carnet De Voyage Fabrics,8360412,4453.3,,,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester",Fabric
Blooms Cotton Blend,34920919,4272,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Plains one + 1,131952,4242.5,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Tomoko,132082,4008.85,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Carnet De Voyage Fabrics,8380495,3917.32,Stripes,,,,,,,,Curtain,70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY,Fabric
Blooms Cotton Blend,34922857,3900,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Carnet De Voyage Fabrics,8380147,3819.25,Stripes,,,,,,,,Curtain,70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY,Fabric
Carnet De Voyage Fabrics,8400365,3607.02,Check / Plaid,,,,,,,,Curtain,100% polyester,Fabric
Blooms Cotton Blend,34921735,3342.3,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Carnet De Voyage Fabrics,8390177,3314.43,Check / Plaid,,,,,,,,Curtain,"55% Cotton, 45% Linen",Fabric
Mixology Designs,34820127,3284.4,Abstract / Random,,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY",Fabric
Mixology Designs,34830145,3266.91,Geometric,,,,,,,,Upholstery,"37% LINEN, 33% POLYESTER, 30% POLYAMIDE",Fabric
Carnet De Voyage Fabrics,8380328,3254.12,Stripes,,,,,,,,Curtain,70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY,Fabric
Mixology Designs,34840355,3228,Abstract / Random,,,,,,,,Upholstery,"70% POLYESTER, 30% VISCOSE",Fabric
Blooms Cotton Blend,34922245,3206,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Blooms Cotton Blend,34921225,3197.7,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Carnet De Voyage Fabrics,8010371,3195.5,Check / Plaid,,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose",Fabric
Carnet De Voyage Fabrics,8410489,3159,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery",Fabric
Blooms Cotton Blend,34922143,3157.51,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Carnet De Voyage Fabrics,8400175,3083.8,Check / Plaid,,,,,,,,Curtain,100% polyester,Fabric
