collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
Jungle,jua101,51407.24,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Color Cube,CC03 GREY,51260.57,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
City Star,CS05 PURPLE,50977.5,Stripes,Solution Dyed,Multi Level Loop,PVC Free,,,,,,,Carpet
Amp'd,AZ52815,50866.55,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,3080489,50827.4,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE",Fabric
Cobra,ca33,50226,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52975,49947.85,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca54,49409.4,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR2303 FOREST,49224.42,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Cobra,ca66,49111.98,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR4801 COSMO BLUE,48555.72,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Armstrong Medintech Plus,K811-002,48304.7,Grey,,,,Vinyl Flooring,Grey,Silver Grey,,,,Flooring
Plains one + 1,131942,44471.45,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Broadway,BW03 CEMENT,44055.14,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Esta,ES08 ATLANTIC,43762.64,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
Shalimar,sha5418,43741.2,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Milano,Milano Garnet,43630.4,,,,,,,,,Upholstery,100% Leather,Fabric
Jungle,jua333,42578.25,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47051,42560.5,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Soprano,SO07 HERITAGE,42292.87,Stripes,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Armstrong Medintech Plus,K811-003,41932.54,Grey,,,,Vinyl Flooring,Grey,Smoke,,,,Flooring
Chimes,AZ52987,41664.8,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5609,41633.9,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca57,40802.95,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua406,40267.7,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Milano,Milano Bisque,40198,,,,,,,,,Upholstery,100% Leather,Fabric
Plains Five,NPLS131168,39811.65,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Davenport,DAV-8787,39616.68,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Jungle,jua328,39551,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Broadway,BW08 RUBY,39514.97,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Nashira,nai1066,39388.6,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua411,39055.79,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52943,38880.44,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa403,38225.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52795,37411.74,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains one + 1,131950,37408.75,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
City Star,CS02 LIME,37319.51,Stripes,Solution Dyed,Multi Level Loop,PVC Free,,,,,,,Carpet
Brushstrokes,Y47061,37003.44,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Broadway,BW02 CHOCOLATE,36499.82,Organic,Yarn Dyed,Multi Level Loop,PVC,,,,,,,Carpet
City Star,CS03 BLUE,36113.46,Stripes,Solution Dyed,Multi Level Loop,PVC Free,,,,,,,Carpet
Esta,ES01 CANE,35922.4,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
Davenport,DAV-1112,35640,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Sanshin,AZ52811,35344.05,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52857,34985.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa103,34791.3,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52847,34577.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52832,34136.8,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-8779,34084.3,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
geff Laminate,GGLF008,34068.69,Oak,,,,Laminate Flooring,Oak,Grey Dudsk,,,,Flooring
Jailhouse Rock,AZ53040,33497.6,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai1022,33080.35,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua102,33060,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Milano,Milano Carmel,32982,,,,,,,,,Upholstery,100% Leather,Fabric
Cabana,CB04 SEA SQUIRT,32795.98,Geometric,Solution Dyed,Level Loop,PVC,,,,,,,Carpet
Blooms Cotton Blend,34921837,32697.72,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Rainbows,raa309,32430,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai1044,32385.72,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Jailhouse Rock,AZ53038,32274.95,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha4100,32203.8,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR2304 CAMEL,31618.82,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Shalimar,sha7520,31404,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-9206,31242,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Nashira,nai1055,31218.8,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47055,30932,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua314,30902.9,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52812,30850,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-8546,30796,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Remix,AZ52839,30748,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52845,30314,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47091,30289.1,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua315,30250.2,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52979,30148.98,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47063,29848,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46992,29605,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52809,29521.5,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47083,29364.7,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132076,29326.58,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
Vera,VR01 GRANITE,29323.82,Organic,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Armstrong Simpurity,K822-001,29285.01,Grey,,,,Vinyl Flooring,Grey,Gently Grey,,,,Flooring
geff Laminate,GGLF007,29263.4,Oak,,,,Laminate Flooring,Oak,Ash Oak,,,,Flooring
Jungle,jua311,29200.7,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47172,28668.55,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131155,28512.5,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Amp'd,AZ52816,28286.75,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52851,28232.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua312,27931.56,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha2100,27638,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR4805 SPECTRUM RED,27518.05,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Rainbows,raa302,27464.79,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52793,27369.22,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca13,27303.96,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131186,27148.3,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Oxide,Y46999,27105.4,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cabana,CB02 SANDY,26891.25,Geometric,Solution Dyed,Level Loop,PVC,,,,,,,Carpet
Cobra,ca32,26776.59,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa414,26768.2,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47060,26687.22,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46988,26513.65,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46987,26414.5,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai6802,26226.9,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
NOX Vinyl,NCP-6710,26194.91,Maple,,,,Vinyl Flooring,Oak,Western Oak Grey,,,,Flooring
Shalimar,sha6405,26168.15,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52957,25837.05,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47171,25802.25,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Blooms Cotton Blend,34921633,25536.68,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Sanshin,AZ52813,25527.35,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Armstrong Simpurity,K822-002,25410.89,Grey,,,,Vinyl Flooring,Grey,Plow Rock,,,,Flooring
Shalimar,sha7002,25318.1,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132083,25075.38,Textured,,,,,,,,"Curtain, Upholstery",92%Polyester & 8% Cotton,Fabric
City Glaze,CG03 NATURAL,24788.41,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Sanshin,AZ52802,24707.4,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47054,24654.4,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46991,24585.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha6307,24523.3,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52950,24457.85,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52996,24370.6,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47086,24282.5,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains one + 1,131939,24192.3,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Jungle,jua327,24120,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52994,24081.6,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47062,24064,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa307,23994.6,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
geff Laminate,GGLF005,23927.35,Oak,,,,Laminate Flooring,Oak,Tea Mix,,,,Flooring
Meteor,Y47088,23572.49,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52850,23547.32,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca63,23532.43,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai1033,23427,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
geff Laminate,GGLF001,23418,Oak,,,,Laminate Flooring,Oak,White Ice,,,,Flooring
Davenport,DAV-8774,23053.2,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Jungle,jua322,22844.7,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47165,22539,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua232,22432.52,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR2302 SILVERFISH,22407.22,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Uncork,AZ52846,22393.57,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52855,22389.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa203,22379.55,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52797,22323.15,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jailhouse Rock,AZ53039,22268.3,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Leedon,LN01 IVORY,22202.96,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Oxide,Y46998,22167.6,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha6621,22133.85,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai1011,22070.3,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR2301 SOIL,21977.24,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Armstrong Medintech Plus,K811-004,21782.5,Grey,,,,Vinyl Flooring,Grey,Rock,,,,Flooring
Safari,Y47170,21715,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-7574,21671,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Marble,Y46980,21507.8,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47050,21505.5,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha6502,21429.8,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai5602,21424.6,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua332,21394.54,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47066,21339.8,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52853,21319.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca45,21296.91,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30420280,21288.45,Stripes,,,,,,,,Curtain,100% LIN,Fabric
Sanshin,AZ52800,21218.6,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46993,21176,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47164,21166.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jailhouse Rock,AZ53042,21118.98,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52828,21021.15,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha1206,20994.35,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa407,20982.45,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8400251,20970,Check / Plaid,,,,,,,,Curtain,100% polyester,Fabric
Sanshin,AZ52805,20963.95,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52837,20889,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Fraser II,FR4808 EARTH YELLOW,20723.47,Stripes,Space Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Plains one + 1,131941,20715.94,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Nashira,nai4604,20600.75,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Mixology Designs,33800623,20548,Check / Plaid,,,,,,,,Curtain,"64% COTTON, 36% POLYESTER",Fabric
Marble,Y46986,20539.3,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30410177,20490,Floral,,,,,,,,Curtain,"55% LIN, 45% COTON",Fabric
Cobra,ca24,20392.2,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai2803,20380.88,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Cobra,ca17,20358.9,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Blooms Cotton Blend,34921021,20310.88,Abstract / Random,,,,,,,,"Curtain, Upholstery",60% COTON 40% POLYESTER,Fabric
Sanshin,AZ52801,20306.5,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46990,20262,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains one + 1,131948,20161,Plain,,,,,,,,"Curtain, Upholstery",70%Viscose & 30%Linen,Fabric
Nashira,nai6801,20117.43,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Natural Creations,CW014,20014.26,Oak,,,,Vinyl Flooring,Oak,White Washed Oak,,,,Flooring
Chimes,AZ52976,19990,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-8446,19985.15,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Rainbows,raa412,19951.6,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47173,19799,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua326,19707.5,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47157,19699.8,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa102,19652.95,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Meteor,Y47080,19539,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52821,19456,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Amp'd,AZ52822,19349.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari Sun,Y47150,19148.74,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-7349,19105.95,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Remix,AZ52841,18980.65,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52836,18974,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47160,18783.04,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Armstrong Medintech Plus,K811-106,18718.16,Pearl,,,,Vinyl Flooring,Pearl,Freesia Pearl,,,,Flooring
Nashira,nai3802,18688.3,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52936,18595,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52838,18350.5,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52807,18085.2,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52978,17926.76,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Nashira,nai2804,17921.8,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46982,17803.4,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47067,17777.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa401,17596.01,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52830,17583.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Armstrong Medintech Plus,K811-331,17505.38,Yellow,,,,Vinyl Flooring,Yellow,Banana,,,,Flooring
Sanshin,AZ52792,17476.25,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Acappella,AZ52954,17407.4,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-1097,17405,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Meteor,Y47087,17358,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131176,17327.1,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Armstrong Natural Creations,TP037,17324.38,Walnut,,,,Vinyl Flooring,Oak,Roan Oak Cocoa,,,,Flooring
Rainbows,raa204,17292.75,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
geff Laminate,GGLF004,17270.8,Oak,,,,Laminate Flooring,Oak,Coffee Mix ,,,,Flooring
Acappella,AZ52935,17256,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Tomoko,132073,17254.3,Herringbone / Chevron / Houndstooth,,,,,,,,"Curtain, Upholstery","57%Viscose, 24%Polyester & 19% Cotton",Fabric
Amp'd,AZ52818,17121,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Carnet De Voyage Fabrics,8410232,17052.24,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery",Fabric
Davenport,DAV-8548,17050,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Safari Sun,Y47146,17043.39,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52990,17023.05,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Rainbows,raa312,16992.72,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Davenport,DAV-9203,16919,Animal Skins,,,,,,,,Upholstery,GSA Certified. Top Grain Leather,Fabric
Armstrong Medintech Plus,K811-107,16879.28,Gold,,,,Vinyl Flooring,Gold,Desert Gold,,,,Flooring
Jailhouse Rock,AZ53036,16833,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47056,16728,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha3521,16661,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha3204,16597.43,,,,Non-woven,Textile,,,ASTM E84 Class A,,,Wallcovering
Oxide,Y46996,16385.1,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha7540,16323.52,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Armstrong Natural Creations,CW007,16255.1,Pine,,,,Vinyl Flooring,Oak,Snow Pine,,,,Flooring
Sanshin,AZ52808,16220,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52791,16197.3,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Plains Five,NPLS131181,16171.38,Abstract / Random,,,,,,,,Curtain,55% Polyester 45% Cotton,Fabric
Rainbows,raa306,16145.56,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52804,16040,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Allure Fabrics,30400333,15970.2,Embroidery,,,,,,,,Curtain,70% Viscose - 30 % Linen - Viscose Embroidery,Fabric
Acappella,AZ52945,15960.3,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46981,15897.5,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Marble,Y46984,15874.08,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Sanshin,AZ52790,15813.96,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jungle,jua325,15797.48,,,,Non-woven,Specialty,,,ASTM E84 Class A,,,Wallcovering
Safari,Y47158,15783,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Jailhouse Rock,AZ53037,15781.4,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Brushstrokes,Y47059,15627.5,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
