Hotel,Stars,Rooms,Website,Telephone,Manager
Hotel Bencoolen @ Hong Kong Street,3,,http://www.hotelbencoolen.com/hongkongstreet,,
Hotel Clover 5 Hongkong Street,3,,http://www.hotelclover5hongkongstreet.com,,
Hotel Clover The Arts,3,,http://www.hotelcloverthearts.com,,
Hotel Compass,3,,,67447655,
Hotel Conforto,3,,,,
Oxford Hotel,3,,http://www.oxfordhotel.com.sg,,
Oxley Blossom Hotel,3,,,,
Oxley Hotel,3,,,,
Oxley Hotel 88,3,,,,
Fortuna Hotel,3,,http://www.fortunahotel.com.sg,62953577,Sharon Ching
Four Chain View Hotel,3,,http://www.fourchain.com.sg,67497117,Mdm Ng
VIP Hotel,3,,http://www.viphotel.com.sg,,
Wanderlust Hotel,3,,http://wanderlusthotel.com,,
Pan Pacific Serviced Suites Beach Road,3,,,,
Parc Sovereign Hotel - Tyrwhitt,3,,http://www.parcsovereign.com,,
Park 22 Hotel,3,,http://www.park22hotel.com,,
Park Avenue Changi,3,,http://www.parkavenuechangi.com,,
The Sultan,3,,http://thesultan.com.sg,,
Travellers Loft @ Jalan Besar,3,,http://www.travellersloft.com.sg,,
Pasir Panjang Inn,3,,http://www.ppinn.com.sg/,,
Penta Hotel,3,,http://www.pentahotel.com.sg,,
Perak Hotel,3,,http://www.peraklodge.net,,
Phil Inn,3,,,,
Porcelain Hotel,3,,http://www.porcelainhotel.com,,
Quarters,3,,http://www.stayquarters.com,,
Raintr33 Hotel Singapore,3,,http://raintr33hotel.com,,
River City Inn,3,,http://www.rivercity.com,,
The Amazing Inn,3,,,,
The Daulat,3,,http://www.thedaulat.com,,
The Inn at Temple Street,3,,http://www.theinn.com.sg,,
The Mitraa,3,,http://www.mitraa.com.sg,,
Festive Hotel,3,,http://www.rwsentosa.com,,
Genting Hotel Jurong,3,,http://www.rwsentosa.com,,
Gusti Bed and Breakfast,3,,http://www.gustibnb.com,,
Haising Hotel,3,,http://www.haising.com.sg,,
Hoover Hotel,3,,,63544435,
Hotel 165,3,,,,
Hotel 34,3,,,,
Hotel @ Horsecity,3,,,,
Hotel Clover 7 Hongkong Street,3,,http://www.hotelclover.com,,
Hotel Clover 769 North Bridge Road,3,,http://www.hotelclover.com.sg,,
Hotel Indigo Singapore Katong,3,,,,
Hotel NuVe Heritage,3,,,,
Hotel Paradise,3,,,,
iStay.inn,3,,,,
Jinshan Hotel,3,,http://www.jinshanhotel.com.sg,,
Just Inn Pine,3,,,,
Klapstar Boutique Hotel,3,,,,
Lai Ming Hotel,3,,http://www.laiminghotel.com.sg,,
Link Hotel,3,,http://www.linkhotel.com.sg,,
M Social Singapore,3,,http://www.millenniumhotels.com/en/singapore/m-social-singapore,,
Malacca Hotel,3,,http://www.malacca.com.sg,,
Mercure Singapore Bugis,3,,,,
Meriton Hotel,3,,,,
New Majestic Hotel,3,,http://www.newmajestichotel.com,,
Siloso Beach Resort,3,,http://www.silosobeachresort.com,,
Sing Hoe Hotel,3,,,,
Sleepy Kiwi,3,,http://www.sleepysams.com,,
Sloane Court Hotel,3,,,,
South East Asia Hotel,3,,http://www.seahotel.com.sg,,
Strand Hotel,3,,http://www.strandhotel.com.sg,,
Super 8 Hotel,3,,,,
Tai Hoe Hotel,3,,http://www.taihoehotel.com,,
Hotel Fuji,3,,,,
Hotel Hamilton,3,,http://www.hotelhamilton.com.sg,62962296,
Hotel Jen Tanglin Singapore,3,,http://www.hoteljen.com,,
Hotel Nuve,3,,http://www.hotelnuve.com,,
Hotel Royal,3,,http://www.hotelroyal.com,62538668,Lee Chou Hock
Hotel Royal @ Queens,3,,http://www.royalqueens.com.sg,,
Hotel Snow,3,,,,
Hotel Supreme,3,,http://www.supremeh.com.sg,,
Hotel Yan,3,,http://www.hotel-yan.com,,
Hup Hoe Hotel,3,,,,
Ibis Singapore Novena,3,,http://www.accorhotels.com/gb/hotel-7451-ibis-singapore-novena/index.shtml,,
ibis Styles Singapore on Macpherson,3,,http://www.accorhotels.com/9411,,
Innotel Hotel,3,,http://www.innotelhotel.com.sg,,
J8 Hotel,3,,http://www.j8hotel.com,,
Jade Hotel,3,,,,
Jayleen 1918 Hotel,3,,http://www.jayleen1918.com.sg,,
Jayleen Clarke Quay Hotel,3,,http://www.jcqhotel.com,,
Jin Dong Hotel,3,,,,
Joyfor Singapore,3,,,,
Kam Leng Hotel,3,,http://www.kamleng.com,,
Kim Tian (Star) Hotel,3,,,,
Kim Tian Hotel,3,,,,
Kim Tian Hotel (Han),3,,,,
La Mode (Sophia),3,,,,
Lai Ming Hotel Cosmoland,3,,http://www.laiminghotel.com.sg,,
Le Peranakan Hotel,3,,http://www.leperanakanhotel.com,,
Le Sac A Dos,3,,http://www.lesacadossg.com,,
Lex Hotel,3,,,,
Lloyd's Inn,3,,http://www.lloydsinn.com,,
Lofi Inn @ Hamilton,3,,http://www.lofiinn.com,,
Marrison @ Desker,3,,http://www.marrisonhotel.com,,
Marrison Hotel,3,,http://www.marrisonhotel.com,,
Mayo Inn,3,,http://www.mayoinn.com,,
Meng Yew Hotel,3,,,,
Min Wah Hotel,3,,,,
Mitraa Inn,3,,,,
Moon 23 Hotel,3,,http://www.moon.com.sg,,
Naumi Liora,3,,http://www.naumiliora.com,,
New Cape Inn,3,,http://www.capeinn-singapore.com,,
New Cathay Hotel (Geylang),3,,,,
New Happy Hotel,3,,http://www.newhappyhotel.com.sg,,
New Orchid Hotel,3,,http://www.neworchidhotel.com,,
Nostalgia Hotel,3,,http://www.hotelnostalgia.com.sg,,
One15 Marina Club,3,,http://www.one15marina.com,,
Cherryloft Resorts,3,,,,
CityBackpackers @ Kallang,3,,,,
D' Kranji Farm Resort,3,,http://www.dkranji.com.sg,,
Darlene Hotel (Geylang),3,,,,
Days Hotel Singapore At Zhongshan Park,3,,http://www.ramada-dayshotelssingapore.com,,
Diamond Hotel,3,,,,
Traveller@sg,3,,,,
Venue Hotel The Lily,3,,http://www.venuehotel.sg,,
Yes Chinatown Pt. Hotel,3,,http://yeschinatownpoint.com,,
Yew Lian Hotel,3,,,,
Arton Hotel,3,,http://www.artonhotel.com,,
Backpackers Inn Chinatown,3,,http://www.richlodging.com,,
Backpacker's Inn Chinatown 2,3,,http://www.richlodging.com,,
Bay Hotel Singapore,3,,http://www.bayhotelsingapore.com,,
Beach Hotel,3,,http://www.beachhotel.com.sg,63367712,Lee Kok Choon
Blanc Inn,3,,http://www.inn.com.sg,,
Bliss Hotel Singapore,3,,http://www.blisshotel.com.sg,,
Blissful Loft,3,,http://www.blissfulloft.com,,
Broadway Hotel,3,,http://www.broadwayhotelsingapore.com,"6292 4661/ 62996007",Mr J.L Sim
Budget Inn,3,,,,
Budgetone Hotel,3,,,,
Cameron Hotel,3,,http://www.cameronhotel.com.sg,65451816,
Champion Hotel,3,,http://www.championhotel.com.sg,,
Chang Ziang Hotel,3,,http://www.changzianghotel.com,"67451515/68481515",Mr.Ong
Adamson Lodge,3,,http://www.adamsonlodge.com,,
Aliwal Park Hotel,3,,,62939022,Mr.Goh
Amrise Hotel,3,,,67456656,
Aqueen Hotel - Balestier,3,,http://www.aqueenhotels.com,,
Asia Star Hotel,3,,http://www.asiastarhotel.com,62291314,Mr.Ang
Asphodel Inn,3,,http://www.asphoinn.com,62969298,asphoinn.com
Backpacker Cozy Corner Guesthouse,3,,http://www.cozycornerguest.com,,
Backpacker's Inn Chinatown 3,3,,http://www.richlodging.com,,
Backpackers@sg,3,,http://www.bpsg.com.sg,,
Balestier Hotel,3,,,,
Beach Villas,3,,,,
Beds and Dreams Inn @ Chinatown 1,3,,http://www.bedsanddreamsinn.com,,
BEDS AND DREAMS INN @ CHINATOWN 2,3,,,,
BEDS AND DREAMS INN @ CLARKE QUAY,3,,http://www.bedsanddreamsinn.com,,
Bright Star Hotel,3,,,67427666,
CHAMPION HOTEL CITY,3,,http://www.championhotel.com.sg,,
Checkers Backpackers,3,,http://www.checkers-backpackers.com,,
Chinatown Hotel,3,,http://www.chinatownhotel.com,62255166,Mrs.Tang
